dream_vals,login_vals,time_vals,gt_vals,earnings_vals,total_time,strats
0,3,2160,1,453868.0,6480,unstocked
0,3,2160,2,1301825.8000005702,6480,stocked
0,3,2160,2,499254.80000000005,6480,unstocked
0,3,2160,3,200320.79999996957,6480,stocked
0,3,2160,3,146804.4,6480,unstocked
0,3,2460,1,1525148.0,7380,stocked
0,3,2460,1,1304848.0,7380,unstocked
0,3,2460,2,408927.1999997782,7380,stocked
0,3,2460,2,1154489.6,7380,unstocked
0,3,2460,3,864128.4000002082,7380,stocked
0,3,2460,3,815557.0,7380,unstocked
0,3,2760,1,759822.0,8280,stocked
0,3,2760,1,836836.0,8280,unstocked
0,3,2760,2,1047873.1999997359,8280,stocked
0,3,2760,2,1138931.2,8280,unstocked
0,3,2760,3,497667.1000001433,8280,stocked
0,3,2760,3,1337505.2,8280,unstocked
0,3,3060,1,769260.0,9180,stocked
0,3,3060,1,326212.0,9180,unstocked
0,3,3060,2,1180674.0000003336,9180,stocked
0,3,3060,2,1513322.8000000003,9180,unstocked
0,3,3060,3,1222946.7999997698,9180,stocked
0,3,3060,3,1419040.1999999997,9180,unstocked
0,3,3360,1,883268.0,10080,stocked
0,3,3360,1,652424.0,10080,unstocked
0,3,3360,2,191624.40000003332,10080,stocked
0,3,3360,2,1154489.6,10080,unstocked
0,3,3360,3,1047677.6000003004,10080,stocked
0,3,3360,3,750287.6,10080,unstocked
0,4,60,1,32352.0,240,stocked
0,4,60,1,0.0,240,unstocked
0,4,60,2,35587.19999999324,240,stocked
0,4,60,2,0.0,240,unstocked
0,4,60,3,37204.80000000737,240,stocked
0,4,60,3,0.0,240,unstocked
0,4,360,1,32352.0,1440,stocked
0,4,360,1,127656.0,1440,unstocked
0,4,360,2,44054.99999999168,1440,stocked
0,4,360,2,0.0,1440,unstocked
0,4,360,3,37204.80000000737,1440,stocked
0,4,360,3,0.0,1440,unstocked
0,4,660,1,155592.0,2640,stocked
0,4,660,1,524768.0,2640,unstocked
0,4,660,2,450867.9999999091,2640,stocked
0,4,660,2,499254.80000000005,2640,unstocked
0,4,660,3,404869.00000016723,2640,stocked
0,4,660,3,146804.4,2640,unstocked
0,4,960,1,160008.0,3840,stocked
0,4,960,1,198556.0,3840,unstocked
0,4,960,2,59485.79999999012,3840,stocked
0,4,960,2,577244.8,3840,unstocked
0,4,960,3,183981.5999999164,3840,stocked
0,4,960,3,456678.80000000005,3840,unstocked
0,4,1260,1,283248.0,5040,stocked
0,4,1260,1,382968.0,5040,unstocked
0,4,1260,2,269442.799999979,5040,stocked
0,4,1260,2,358833.2,5040,unstocked
0,4,1260,3,265544.1999999619,5040,stocked
0,4,1260,3,456678.80000000005,5040,unstocked
0,4,1560,1,372604.0,6240,stocked
0,4,1560,1,255312.0,6240,unstocked
0,4,1560,2,902739.1999997357,6240,stocked
0,4,1560,2,358833.2,6240,unstocked
0,4,1560,3,250502.19999994885,6240,stocked
0,4,1560,3,293608.8,6240,unstocked
0,4,1860,1,695554.0,7440,stocked
0,4,1860,1,581524.0,7440,unstocked
0,4,1860,2,311590.39999994636,7440,stocked
0,4,1860,2,1232479.6,7440,unstocked
